Sex	Name	Origin	Meaning	Source
F	Dalenna	English	Small valley. Abbreviation of Madeline.	source1
F	Dale	Norse	A valley.	source1
F	Daleyza	Unknown	 	source2
F	Dalia	African	Gentle. (Tanzanian).	source1
F	Dalia	Arabic	Gentle.	source1
F	Dalia	German	dahlia	source2
F	Daliah	Hebrew	 	source2
F	Daliah	Hebrew	Tree branch.	source1
F	Daliah	Israeli	Gentle.	source1
F	Dalibora	Old Slavic	 	source2
F	Dalila	African	Gentle. (Tanzanian) (Swahili).	source1
F	Dalila	Egyptian	Gentle.	source1
F	Dalila	Hebrew	Desired; languishing. Famous bearer: Biblical Delilah tempted Samson into revealing the secret of his superhuman strength.	source1
F	Dalila	Hebrew	maybe feeble	source2
F	Dalilah	Hebrew	maybe feeble	source2
F	Dalila	Spanish	Delicate.	source1
F	Daline	Old High German	Words: noble, honorable	source2
F	Dalisay	Tagalog	pure	source2
F	Dalis	Hebrew	Drawing water.	source1
F	Dalit	Hebrew	Drawing water.	source1
F	Daliyah	Hebrew	 	source2
F	Daliyah	Hebrew	Tree branch.	source1
F	Dalla	Norse	Mother of Kormak.	source1
F	Dallas	Scottish	From the dales; the valley meadows. Name of a Texas city.	source1
F	Dallas	Scottish	maybe resting place	source2
F	Dallis	Scottish	From the dales; the valley meadows.	source1
F	Dalmanutha	Biblical	A bucket, a branch.	source1
F	Dalmatia	Biblical	Deceitful lamps, vain brightness.	source1
F	Dalma	Unknown	 	source2
F	Dalr	Norse	From the valley.	source1
F	Daly	English	Small valley. Abbreviation of Madeline.	source1
F	Damara	Greek	Gentle.	source1
F	Damara	Latin	Gentle. Famous bearer: Biblical Damaris was the educated woman who heard Paul speak at the open-air supreme court of Athens.	source1
F	Damaress	Latin	Gentle. Famous bearer: Biblical Damaris was the educated woman who heard Paul speak at the open-air supreme court of Athens.	source1
F	Damaris	Biblical	A little woman	source1
F	Damaris	Greek	Derived from the Greek word for calf. Damaris was an Athenian woman who St Paul converted to Christianity. Gentle.	source1
F	Damaris	Hebrew	A biblical name derived from the Greek word for calf. Damaris was an Athenian woman who St Paul converted to Christianity.	source1
F	Damaris	Latin	Gentle. Famous bearer: Biblical Damaris was the educated woman who heard Paul speak at the open-air supreme court of Athens.	source1
F	Damaris	Old Greek	maybe calf	source2
F	Damariss	Latin	Gentle. Famous bearer: Biblical Damaris was the educated woman who heard Paul speak at the open-air supreme court of Athens.	source1
F	Damarys	Old Greek	maybe calf	source2
F	Damascus	Biblical	A sack full of blood, the similitude of burning.	source1
F	Damayanti	Indian	Name of a princess.	source1
F	Damhnait	Irish	The name of a saint. Bard.	source1
F	Damia	French	Untamed.	source1
F	Damia	Latin	Untamed.	source1
F	Damiana	French	Untamed.	source1
F	Damiana	Greek	One who tames; subdues. Feminine of Damian.	source1
F	Damiana	Latin	Untamed.	source1
F	Damiana	Old Greek	Words: tame, subdue	source2
F	Damiane	French	Untamed.	source1
F	Damia	Unknown	 	source2
F	Damien	French	Untamed.	source1
F	Damina	Latin	Lady.	source1
F	Damita	Spanish	little lady, little dame	source2
F	Damita	Spanish	Little noble.	source1
F	Damla	Turkish	 	source2
F	Damone	Latin	Untamed.	source1
F	Dana	Celtic	From Denmark. Dana was the Celtic goddess of fertility.	source1
F	Dana	Danish	From Denmark.	source1
F	Danae	Greek	Mythological mother of Perseus by Zeus.	source1
F	Danae	Hebrew	God is my judge.	source1
F	Dana	English	A feminine form of the Hebrew Daniel, meaning God has judged, God is judge, or God will judge. Also used as a derivitive of the surname Dane, meaning From Denmark.	source1
F	Danaë	Old Greek	 	source2
F	Dana	Hebrew	Feminine form of Daniel: God has judged, or God is judge. The Old Testament Daniel was a 6th century BC prophet who miraculously survived the den of lions.	source1
F	Dana	Hebrew	God is my judge	source2
F	Danah	English	From Denmark. Also a variant of Daniel.	source1
F	Dana	Irish	A Dane.	source1
F	Dana	Old English	the Dane	source2
F	Dana Paola	Spanish	 	source2
F	Danaye	Greek	Form of Danae; the mythological mother of Perseus by Zeus.	source1
F	Danay	Greek	Form of Danae; the mythological mother of Perseus by Zeus.	source1
F	Danea	Greek	Form of Danae; the mythological mother of Perseus by Zeus.	source1
F	Danee	Greek	Form of Danae; the mythological mother of Perseus by Zeus.	source1
F	Danele	Basque	Feminine form of Danel.	source1
F	Danele	Hebrew	God is my judge.	source1
F	Danelle	English	Feminine variant of Daniel: God will judge.	source1
F	Danelle	Hebrew	God is my judge.	source1
F	Danetta	Hebrew	God is my judge.	source1
F	Danette	English	Feminine variant of Daniel: God will judge.	source1
F	Danette	French	A feminine form of the Hebrew Daniel, meaning God has judged, or God is judge.	source1
F	Danette	Hebrew	Feminine form of Daniel: God has judged, or God is judge. The Old Testament Daniel was a 6th century BC prophet who miraculously survived the den of lions.	source1
F	Daney	English	From Denmark. Also a feminine variant of Daniel: God will judge.	source1
F	Dania	English	From Denmark. Also a feminine variant of Daniel: God will judge.	source1
F	Dania	Hebrew	God is my judge.	source1
F	Dania	Slavic	 	source2
F	Danica	Slavic	Morning star.	source1
F	Danica	Slavic	morning star	source2
F	Danice	English	Feminine variant of Daniel: God will judge.	source1
F	Danice	Slavic	morning star	source2
F	Daniek	Hebrew	God is my judge	source2
F	Daniela	Hebrew	God is my judge.	source1
F	Daniela	Hebrew	God is my judge	source2
F	Daniele	Hebrew	Feminine form of Daniel: God is my judge.	source1
F	Daniele	Hebrew	God is my judge	source2
F	Daniella	Hebrew	Feminine form of Daniel: God has judged, or God is judge. The Old Testament Daniel was a 6th century BC prophet who miraculously survived the den of lions.	source1
F	Daniella	Hebrew	God is my judge	source2
F	Danielle	French	Feminine form of Daniel, meaning God has judged, or God is judge.	source1
F	Danielle	Hebrew	Feminine form of Daniel: God is my judge.	source1
F	Danielle	Hebrew	God is my judge	source2
F	Danifa	Slavic	Morning star.	source1
F	Dani	Hebrew	God is my judge	source2
F	Dani	Italian	Feminine of Daniel: God will judge.	source1
F	Danijela	Hebrew	God is my judge	source2
F	Danika	Slavic	Morning star.	source1
F	Danika	Slavic	morning star	source2
F	Danila	Hebrew	Feminine form of Daniel: God is my judge.	source1
F	Danila	Hebrew	God is my judge	source2
F	Danique	Hebrew	God is my judge	source2
F	Danise	English	Feminine variant of Daniel: God will judge.	source1
F	Dani	Spanish	Feminine of Daniel: God judges. God will judge.	source1
F	Danita	English	Feminine variant of Daniel: God will judge.	source1
F	Danita	Hebrew	Feminine form of Daniel: God has judged, or God is judge. The Old Testament Daniel was a 6th century BC prophet who miraculously survived the den of lions.	source1
F	Danita	Spanish	God judges. God will judge.	source1
F	Danit	Hebrew	God is my judge.	source1
F	Danitza	English	Feminine variant of Daniel: God will judge.	source1
F	Danja	Slavic	 	source2
F	Dan	Mandarin	red, cinnabar	source2
F	Danna	English	Feminine variant of Daniel: God will judge.	source1
F	Dannah	Biblical	Judging. God will judge.	source1
F	Danna	Hebrew	God is my judge	source2
F	Dannah	English	A Biblical place name; variant of Daniel God will judge.	source1
F	Dannalee	English	Feminine variant of Daniel: God will judge.	source1
F	Danna Paola	Spanish	 	source2
F	Danna Sofía	Spanish	 	source2
F	Dannee	English	Feminine variant of Daniel: God will judge.	source1
F	Dannelle	English	Feminine variant of Daniel: God will judge.	source1
F	Dannell	English	Feminine variant of Daniel: God will judge.	source1
F	Dannia	English	Feminine variant of Daniel: God will judge.	source1
F	Dannica	Slavic	Morning star.	source1
F	Danni	English	Feminine variant of Daniel: God will judge.	source1
F	Dannika	Slavic	Morning star.	source1
F	Dannon	English	Feminine variant of Daniel: God will judge.	source1
F	Danrelle	English	Hidden.	source1
F	Dantina	English	Feminine variant of Daniel: God will judge.	source1
F	Danuse	Hebrew	God is my judge	source2
F	Danuta	Hebrew	Feminine form of Daniel: God has judged, or God is judge. The Old Testament Daniel was a 6th century BC prophet who miraculously survived the den of lions.	source1
F	Danuta	Lithuanian	 	source2
F	Danya	English	Feminine variant of Daniel: God will judge.	source1
F	Danya	Hebrew	Feminine form of Daniel: God is my judge.	source1
F	Danyelle	Hebrew	God is my judge	source2
F	Dany	English	Feminine variant of Daniel: God will judge.	source1
F	Dany	Hebrew	God is my judge	source2
F	Danylynn	English	Variant of Daryl: Dearly loved.	source1
F	Daph	Greek	Diminutive of Daphne: Bay tree, or laurel tree. The Greek mythological nymph Daphne was rescued from the unwanted attentions of the god Apollo by being turned into a laurel bush. Famous bearer: British author Daphne du Maurier.	source1
F	Daphna	Hebrew	Victory.	source1
F	Daphnah	Hebrew	Victory.	source1
F	Daphne	Greek	Bay tree, or laurel tree. The Greek mythological nymph Daphne was rescued from the unwanted attentions of the god Apollo by being turned into a laurel bush. Famous bearer: British author Daphne du Maurier.	source1
F	Daphne	Hebrew	Victory.	source1
F	Daphne	Old Greek	laurel, laurel tree	source2
F	Daphné	Old Greek	laurel, laurel tree	source2
F	Daphney	Greek	The laurel tree. The mythological virtuous Daphne was transformed into a laurel tree to protect her from Apollo.	source1
F	Daracha	Scottish	From the oak.	source1
F	Dara	Gaelic	Oak tree.	source1
F	Darah	Biblical	Generation; house of the shepherd or of the companion.	source1
F	Dara	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Darah	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Dara	Malay	joung girl, virgin	source2
F	Dara	Unknown	 	source2
F	Darby	Old Norse	deer town	source2
F	Darcel	French	Dark. .	source1
F	Darcel	Irish	Dark.	source1
F	Darcelle	French	Dark. .	source1
F	Darcelle	Irish	Dark.	source1
F	Darcell	French	Dark. .	source1
F	Darcell	Irish	Dark.	source1
F	Darcey	French	Dark. .	source1
F	Darcey	Irish	Dark.	source1
F	Darcey	Old French	from Arcy	source2
F	Darchelle	French	Dark. .	source1
F	Darchelle	Irish	Dark.	source1
F	Darcia	French	Dark. .	source1
F	Darcia	Irish	Dark.	source1
F	Darcie	French	Dark. .	source1
F	Darcie	Irish	Dark.	source1
F	Darcie	Old French	from Arcy	source2
F	Darci	French	Dark. .	source1
F	Darci	Irish	Dark.	source1
F	Darcy	English	Derived from a surname introduced into Britain during the Norman Conquest, based on the the French place name Arcy.	source1
F	DArcy	English	Derived from a surname introduced into Britain during the Norman Conquest, based on the the French place name Arcy.	source1
F	Darcy	French	From Arcy. Dark.	source1
F	DArcy	French	From Arcy. Dark.	source1
F	D'arcy	Irish	Dark.	source1
F	Darcy	Irish	Dark.	source1
F	Darcy	Old French	from Arcy	source2
F	Darda	Hungarian	Dart.	source1
F	Dardana	Albanian	Words: pear	source2
F	Darda	Scandinavian	A dart.	source1
F	Dareen	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Darel	Anglo-Saxon	Tenderly loved.	source1
F	Darelene	Anglo-Saxon	Tenderly loved.	source1
F	Darelle	Anglo-Saxon	Tenderly loved.	source1
F	Darena	Unknown	 	source2
F	Darerca	Irish	Name of a saint.	source1
F	Daria	Latin	Feminine of Darius; a Persian royal name.	source1
F	Dariana	Old Persian	possessor of the good	source2
F	Darian	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darianna	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darian	Old Persian	possessor of the good	source2
F	Daria	Old Persian	possessor of the good	source2
F	Daria	Persian	Preserver.	source1
F	Daria	Spanish	Rich.	source1
F	Darice	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Darice	Persian	Queen.	source1
F	Darice	Unknown	 	source2
F	Dariele	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darielle	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darienne	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darina	Czechoslovakian	Feminine of Darius; a Persian royal name.	source1
F	Darina	Old Irish	Words: fruitful, fertile	source2
F	Darina	Unknown	 	source2
F	Darinka	Old Persian	possessor of the good	source2
F	Darissa	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Dariya	Old Persian	possessor of the good	source2
F	Darja	Old Persian	possessor of the good	source2
F	Darkon	Biblical	Of generation, of possession.	source1
F	Darla	English	Darling. From the Old English 'dearling'.	source1
F	Darla	English	 	source2
F	Darleane	English	Darling. From the Old English 'dearling'.	source1
F	Darleena	English	Darling. From the Old English 'dearling'.	source1
F	Darleene	English	 	source2
F	Darleen	English	Darling. From the Old English 'dearling'.	source1
F	Darleen	English	 	source2
F	Darlena	English	Darling. From the Old English 'dearling'.	source1
F	Darlene	Anglo-Saxon	Tenderly loved.	source1
F	Darlene	English	Darling. From the Old English 'dearling'.	source1
F	Darlene	English	 	source2
F	Darlina	English	Darling. From the Old English 'dearling'.	source1
F	Darline	Anglo-Saxon	Tenderly loved.	source1
F	Darline	English	Darling. From the Old English 'dearling'.	source1
F	Darnell	English	Hidden.	source1
F	Darnetta	English	Hidden.	source1
F	Darnisha	English	Hidden.	source1
F	Darolyn	English	Variant of Daryl: dearly loved.	source1
F	Darra	Gaelic	Oak tree.	source1
F	Darra	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Darrah	Hebrew	Wise. Feminine form from the male Dara, a biblical descendant of Judah known for his wisdom.	source1
F	Darrelle	Latin	Feminine of Darius; a Persian royal name.	source1
F	Darrellyn	English	Variant of Daryl: dearly loved.	source1
F	Darrill	English	Variant of Daryl: dearly loved.	source1
F	Darryll	English	Variant of Daryl: dearly loved.	source1
F	Daru	Hindi	Pine.	source1
F	Darya	Old Persian	possessor of the good	source2
F	Darya	Persian	Preserver.	source1
F	Darya	Russian	Feminine of Darius; a Persian royal name.	source1
F	Daryl	Anglo-Saxon	Tenderly loved.	source1
F	Darylene	English	Variant of Daryl: dearly loved.	source1
F	Daryl	English	Dearly loved. The name Daryl for girls was made popular by actress Daryl Hannah.	source1
F	Daryll	English	Variant of Daryl: dearly loved.	source1
F	Darylyn	English	Variant of Daryl: dearly loved.	source1
F	Daryn	Greek	Gift.	source1
F	Darynne	Greek	Gift.	source1
F	Darynn	Greek	Gift.	source1
F	Dasha	Russian	God's gift.	source1
F	Dasia	Unknown	 	source2
F	Dathan	Biblical	Laws or rites.	source1
F	Daveen	English	Beloved. Feminine of David.	source1
F	Daveney	French	Name of a town and castle in Flanders. Also a rhyming variant of Daphne.	source1
F	Davia	English	Beloved. Feminine of David.	source1
F	Davianna	English	Beloved. Feminine of David.	source1
F	Davida	English	Beloved. Feminine of David.	source1
F	Davida	Hebrew	beloved	source2
F	Davida	Hebrew	Cherished.	source1
F	Davida	Latin	Dearly loved.	source1
F	Davida	Scottish	Feminine form of David: Beloved or friend, adopted from the Hebrew. David was a common name of Scottish kings in the Middle Ages.	source1
F	Davi	Hebrew	Cherished.	source1
F	Davina	English	Beloved. Feminine of David.	source1
F	Davina	Hebrew	beloved	source2
F	Davina	Hebrew	Cherished.	source1
F	Davinah	Hebrew	Cherished.	source1
F	Davina	Scottish	Beloved or friend. Feminine form of David.Feminine form of David: Beloved or friend, adopted from the Hebrew.	source1
F	Davine	English	Beloved. Feminine of David.	source1
F	Davinia	English	Beloved. Feminine of David.	source1
F	Davinia	Hebrew	Cherished.	source1
F	Davinia	Scottish	Feminine form of David: Beloved or friend, adopted from the Hebrew. David was a common name of Scottish kings in the Middle Ages.	source1
F	Davita	English	Beloved. Feminine of David.	source1
F	Davitah	Hebrew	Cherished.	source1
F	Davite	Hebrew	Cherished.	source1
F	Davonna	English	Beloved. Feminine of David.	source1
F	Davy	English	Beloved. Feminine of David.	source1
F	Davynn	English	Beloved. Feminine of David.	source1
F	Dawna	English	The first appearance of daylight; daybreak.	source1
F	Dawn	Anglo-Saxon	Awakening.	source1
F	Dawne	English	The first appearance of daylight; daybreak.	source1
F	Dawnelle	English	The first appearance of daylight; daybreak.	source1
F	Dawn	English	Aurora. The first appearance of daylight; daybreak. Dawn. From the English word dawn.	source1
F	Dawn	English	dawn	source2
F	Dawnetta	English	The first appearance of daylight; daybreak.	source1
F	Dawnette	English	The first appearance of daylight; daybreak.	source1
F	Dawnielle	English	The first appearance of daylight; daybreak.	source1
F	Dawnika	English	The first appearance of daylight; daybreak.	source1
F	Dayami	Unknown	 	source2
F	Dayana	Latin	Words: light, daylight, deity	source2
F	Dayanara	Unknown	 	source2
F	Dayang	Malay	the maiden	source2
F	Dayle	English	Lives in the valley. Small valley.	source1
F	Dayna	English	From Denmark. Also a variant of Daniel.	source1
F	Dayna	Old English	the Dane	source2
F	Dayne	English	From Denmark. Also a variant of Daniel.	source1
F	Daysi	English	Day's eye. A flower name.	source1
F	Dea	Latin	the goddess	source2
F	Deana	English	From the valley. Variant of Diana meaning divine.	source1
F	Deana	Old English	valley; dean	source2
F	Deanda	English	Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man. ).	source1
F	Deandra	English	Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man. ).	source1
F	Deandra	Unknown	 	source2
F	Deandrea	English	Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man. ).	source1
F	Deandria	English	Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man. ).	source1
F	Deane	English	From the valley. Variant of Diana meaning divine.	source1
F	Deanna	English	From the valley. Variant of Diana meaning divine.	source1
F	Deanna	Latin	Variant of Diana: Fertile. God, devine. Famous bearer: Diana was the Roman goddess of fertility and childbirth, of hunting, and the moon.	source1
F	Deanna	Latin	Words: light, daylight, deity	source2
F	Deanne	English	Variant of Diana meaning divine.	source1
F	Deanne	French	Variant of Diane: The French form of the Latin Diana.  Mythological ancient Roman divinity Diana was noted for beauty and swiftness; often depicted as a huntress. Greek goddess of the moon.	source1
F	Deann	English	Variant of Diana meaning divine.	source1
F	Dearbhail	Irish	True desire.	source1
F	Deardriu	Gaelic	Raging.	source1
F	Dea Roma	Latin	Goddess of Rome.	source1
F	Deasia	Unknown	 	source2
F	Debbie	English	Popularized as an independent name in the 1950s by American actress Debbie Reynolds.	source1
F	Debbie	Hebrew	bee	source2
F	Debbie	Hebrew	Diminutive of Deborah: Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Debby	Hebrew	Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Debby	Hebrew	bee	source2
F	Deb	Hebrew	Diminutive of Deborah: Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Debir	Biblical	An orator, a word.	source1
F	Deborah	Biblical	Word, thing, a bee	source1
F	Debora	Hebrew	Bee.	source1
F	Debora	Hebrew	bee	source2
F	Débora	Hebrew	bee	source2
F	Deborah	Hebrew	Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Deborah	Hebrew	bee	source2
F	Déborah	Hebrew	bee	source2
F	Deborina	Hebrew	bee	source2
F	Debra	Hebrew	bee	source2
F	Debra	Hebrew	Variant of Deborah: Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Debrah	Hebrew	Variant of Deborah: Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Debralee	Hebrew	Variant of Deborah: Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.	source1
F	Decapolis	Biblical	Containing ten cities.	source1
F	Dechtire	Celtic	Mythical nursemaid.	source1
F	Decima	Latin	Feminine form of Decimus: Tenth. This name was often given to the tenth child in large families.	source1
F	Decla	Irish	Feminine form of Declan the name of a saint.	source1
F	Dedanim	Biblical	The descendants of Dedan.	source1
F	Dedre	Irish	Sorrowful.	source1
F	Deeana	English	Variant of Diana meaning divine.	source1
F	Deeandra	English	Blend of Deanne, meaning divine, plus variants of Andrea (masculine) and Sandra (protector of man. ).	source1
F	Deeanna	English	Variant of Diana meaning divine.	source1
F	Deeann	English	Variant of Diana meaning divine.	source1
F	Deebe	Muslim	Variant of Dibi: Brocade. Gold tissue..	source1
F	Deedra	Irish	Melancholy. A variant of the older name Deirdre. In Celtic legend Deirdre died of a broken heart.	source1
F	Dee	English	A diminutive of any name beginning with D, also frequently used as an independent name.	source1
F	Deena	English	Variant of Diana meaning divine.	source1
F	Deetra	Greek	Variant of Demetria.	source1
F	Dee	Welsh	Dark.	source1
F	Defena	English	From Devonshire.	source1
F	Defne	Old Greek	laurel, laurel tree	source2
F	Degna	Latin	maybe worthy	source2
F	Deheune	Celtic	Divine one.	source1
F	Deianira	Greek	Wife of Hercules.	source1
F	Deidameia	Latin	Daughter of Bellerphon.	source1
F	Deidra	Gaelic	Raging.	source1
F	Deidra	Irish	Melancholy. A variant of the older name Deirdre. In Celtic legend Deirdre died of a broken heart.	source1
F	Deidra	Old Irish	maybe sorrowful	source2
F	Deidre	Irish	Melancholy. A variant of the older name Deirdre. In Celtic legend Deirdre died of a broken heart.	source1
F	Deidre	Old Irish	maybe sorrowful	source2
F	Deiene	Spanish	Religious holiday.	source1
F	Deikun	Spanish	Religious holiday.	source1
F	Deina	Spanish	Religious holiday.	source1
F	Deina	Unknown	 	source2
F	Deirdra	Irish	Melancholy. A variant of the older name Deirdre. In Celtic legend Deirdre died of a broken heart.	source1
F	Deirdre	Celtic	Sorrowful.	source1
F	Deirdre	Gaelic	Raging.	source1
F	Deirdre	Irish	Raging, broken-hearted, or fear. The Deirdre of Irish and Scottish legend committed suicide after her lover's murder.	source1
F	Deirdre	Old Irish	maybe sorrowful	source2
F	Deirdre	Scottish	Raging, broken-hearted, or fear. The Deirdre of Irish and Scottish legend committed suicide after her lover's murder.	source1
F	Deitra	Greek	Variant of Demetria.	source1
F	Deja	French	already	source2
F	Dejah	French	already	source2
F	Deka	African	Pleasing. (Somali).	source1
F	Delaney	Old French	from the alder grove	source2
F	Delbina	Greek	Flower.	source1
F	Delbine	Greek	Flower.	source1
F	Delbin	Greek	Flower.	source1
F	Delcine	Spanish	Sweet.	source1
F	Del	English	A diminutive of any masculine or feminine name beginning with Del.	source1
F	Delfina	Greek	From Delphi.	source1
F	Delfina	Latin	Dolphin. Variant of the thirteenth-century French saint Delphine.	source1
F	Delfina	Latin	Words: dolphin	source2
F	Delfina	Spanish	Dolphin. Variant of the thirteenth-century French saint Delphine.	source1
F	Delfine	Greek	From Delphi.	source1
F	Delfine	Latin	Words: dolphin	source2
F	Delia	Celtic	Diminutive of Bedelia: A variant of Bridget, who was the mythic Celtic goddess of fire and poetry.	source1
F	Delia	German	Diminutive of Adela: Pleasant; Of the nobility. Noble. From the Old German 'athal' meaning noble, introduced into Britain during the Norman Conquest. Adela was the name of one of King William I's daughters.	source1
F	Delia	Greek	From Delos. Derived from the name Delos, the Greek island where Apollo and the goddess Artemis are believed to have been born. Also an abbreviation of Cordelia and Adelia.	source1
F	Deliah	Old Greek	 	source2
F	Deliane	Old Greek	 	source2
F	Delia	Old Greek	 	source2
F	Delia	Welsh	Dark.	source1
F	Delicea	Latin	Delightful.	source1
F	Delice	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Deliciae	Latin	Delightful.	source1
F	Delicia	Latin	Delightful. Gives pleasure.	source1
F	Delicia	Latin	delight, pleasure	source2
F	Delicia	Spanish	Charming.	source1
F	Delight	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Delight	French	Pleasure or youthful.	source1
F	Delilah	Biblical	Poor, small, head of hair	source1
F	Delila	Hebrew	Desired. Languishing. The Biblical Delilah tempted Samson into revealing the secret of his superhuman strength.	source1
F	Delila	Hebrew	maybe feeble	source2
F	Delilah	Hebrew	Amorous, delight, languishing, temptress. In the Old Testament, Samson's mistress Delilah tricked him into revealing the secret of his strength, then betrayed him to the Philistines.	source1
F	Delilah	Hebrew	maybe feeble	source2
F	Delima	Sanskrit	ruby; pomegranate	source2
F	Delina	Unknown	 	source2
F	Delinda	Old High German	Words: fight / lime, linden, lime-wood shield / gentle, friendly	source2
F	Delisa	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Delisha	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Delissa	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Delit	French	Pleasure.	source1
F	Deliza	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Della	English	Noble. This diminutive of Adela has been used commonly as an independent name since the late 19th century.	source1
F	Della	German	Bright. Noble.	source1
F	Della	Greek	Delphine.	source1
F	Della	Old High German	of a noble kind	source2
F	Dell	English	Noble.	source1
F	Dell	German	Bright. Noble.	source1
F	Delma	German	Noble protector.	source1
F	Delmara	Spanish	Of the sea.	source1
F	Delmare	French	Of the sea.	source1
F	Delmar	Spanish	Of the sea.	source1
F	Delma	Spanish	Of the sea.	source1
F	Delmi	German	Noble protector.	source1
F	Delmira	German	Noble protector.	source1
F	Delmy	German	Noble protector.	source1
F	Delora	English	Variant of Dolores: sorrows.	source1
F	Delora	Latin	From the seashore. Variant of Dolores meaning 'sorrows.	source1
F	Deloras	Latin	From the seashore.	source1
F	Delores	English	Variant of Dolores: sorrows.	source1
F	Delores	Latin	Variant of Dolores meaning 'sorrows.	source1
F	Delores	Spanish	Words: pain / pain	source2
F	Deloris	English	Variant of Dolores: sorrows.	source1
F	Deloris	Latin	Variant of Dolores meaning 'sorrows.	source1
F	Deloros	Latin	From the seashore.	source1
F	Delphia	Greek	From Delphi.	source1
F	Delphia	Latin	Dolphin. Variant of the thirteenth-century French saint Delphine.	source1
F	Delphia	Spanish	Dolphin. Variant of the thirteenth-century French saint Delphine.	source1
F	Delphina	Greek	From Delphi.	source1
F	Delphina	Latin	Words: dolphin	source2
F	Delphine	French	Dolphin. Derived from the Greek name. Famous bearer: a thirteenth-century French saint.	source1
F	Delphine	Greek	Dolphin. From the Greek place name Delphi, the site of the oracle of Apollo. Also from the plant name delphinium.	source1
F	Delphine	Latin	Words: dolphin	source2
F	Delta	Greek	Born fourth. Fourth letter of the Greek alphabet.	source1
F	Delwen	Welsh	Derived from the Welsh words for neat and fair.	source1
F	Delwyn	Welsh	Derived from the Welsh words for neat and fair.	source1
F	Delyssa	English	Variant of Latin Delicia: Gives pleasure.	source1
F	Delyth	Welsh	Derived from the Welsh words for neat and pretty.	source1
F	Demas	Biblical	Popular.	source1
F	Demas	Greek	Popular.	source1
F	Demelza	English	Fortified. A Cornish place name sometimes used as a first name. Famous bearer: Demelza was the heroine of British author Winston Graham's Poldark novels.	source1
F	Demeter	Greek	Earth-lover. Demeter is the mythological Greek goddess of corn and harvest. She withdraws for the part of the year her daughter Persephone must spend with the god of the underworld - the reason for winter.	source1
F	Demetra	Greek	Of Demeter. Demetria was the mythological goddess of corn and harvest.	source1
F	Demetre	Greek	Earth-lover. Demeter is the mythological Greek goddess of corn and harvest. She withdraws for the part of the year her daughter Persephone must spend with the god of the underworld - the reason for winter.	source1
F	Demetria	Greek	Of Demeter. Demetria was the mythological goddess of corn and harvest.	source1
F	Demetria	Old Greek	dedicated to Demeter	source2
F	Demi	English	Abbreviation of Demetria - the mythological goddess of corn and harvest.	source1
F	Demi	Old Greek	dedicated to Demeter	source2
F	Demitra	Greek	Of Demeter. Demetria was the mythological goddess of corn and harvest.	source1
F	Demitras	Greek	Of Demeter. Demetria was the mythological goddess of corn and harvest.	source1
F	Demonassa	Latin	Wife of Hippolochus.	source1
F	Demos	Greek	Popular.	source1
F	Demy	Old Greek	dedicated to Demeter	source2
F	Denae	Greek	Form of Danae; the mythological mother of Perseus by Zeus.	source1
